Rxn	Rxn name	Gene Protein Reaction Rule	EC Number	TN(s-1)	Substrate	Organism	Commentary	Reference
EX_adn(e)	Adenosine exchange							
EX_adocbl(e)	Adenosylcobalamin exchange							
EX_ag(e)	silver exchange							
EX_agm(e)	Agmatine exchange							
EX_akg(e)	2-Oxoglutarate exchange							
EX_ala-B(e)	beta-Alanine exchange							
EX_ala-D(e)	D-Alanine exchange							
EX_ala-L(e)	L-Alanine exchange							
EX_alaala(e)	D-Alanyl-D-alanine exchange							
EX_all-D(e)	D-Allose exchange							
EX_alltn(e)	Allantoin exchange							
EX_amp(e)	AMP exchange							
EX_anhgm(e)	N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramic acid exchange							
EX_arab-L(e)	L-Arabinose exchange							
EX_arbt(e)	Arbutin exchange							
EX_arbtn(e)	aerobactin minus Fe3 exchange							
EX_arbtn-fe3(e)	Aerobactin exchange							
EX_arg-L(e)	L-Arginine exchange							
EX_ascb-L(e)	L-Ascorbate exchange							
EX_asn-L(e)	L-Asparagine exchange							
EX_aso3(e)	arsenite exchange							
EX_asp-L(e)	L-Aspartate exchange							
EX_btn(e)	Biotin exchange							
EX_but(e)	Butyrate (n-C4:0) exchange							
EX_butso3(e)	butanesulfonate exchange							
EX_ca2(e)	Calcium exchange							
EX_cbi(e)	Cobinamide exchange							
EX_cbl1(e)	Cob(I)alamin exchange							
EX_cd2(e)	Cadmium exchange							
EX_cgly(e)	Cys-Gly exchange							
EX_chol(e)	Choline exchange							
EX_chtbs(e)	chitobiose exchange							
EX_cit(e)	Citrate exchange							
EX_cl(e)	Chloride exchange							
EX_cm(e)	Chloramphenicol exchange							
EX_cmp(e)	CMP exchange							
EX_co2(e)	CO2 exchange							
EX_cobalt2(e)	Co2+ exchange							
EX_colipa(e)	core oligosaccharide lipid A exchange							
EX_colipap(e)	core oligosaccharide lipid A diphosphate exchange							
EX_cpgn(e)	coprogen exchange							
EX_cpgn-un(e)	coprogen unloaded (no Fe(III)) exchange							
EX_crn(e)	L-Carnitine exchange							
EX_crn-D(e)	D-carnitine exchange							
EX_csn(e)	Cytosine exchange							
EX_cu(e)	Cu+ exchange							
EX_cu2(e)	Cu2+ exchange							
EX_cyan(e)	Hydrogen cyanide exchange							
EX_cynt(e)	Cyanate exchange							
EX_cys-D(e)	D-Cysteine exchange							
EX_cys-L(e)	L-Cysteine exchange							
EX_cytd(e)	Cytidine exchange							
EX_dad-2(e)	Deoxyadenosine exchange							
EX_damp(e)	dAMP exchange							
EX_dca(e)	Decanoate (n-C10:0) exchange							
EX_dcmp(e)	dCMP exchange							
EX_dcyt(e)	Deoxycytidine exchange							
EX_ddca(e)	Dodecanoate (n-C12:0) exchange							
EX_dgmp(e)	dGMP exchange							
EX_dgsn(e)	Deoxyguanosine exchange							
EX_dha(e)	Dihydroxyacetone exchange							
EX_dimp(e)	dIMP exchange							
EX_din(e)	Deoxyinosine exchange							
EX_dms(e)	Dimethyl sulfide exchange							
EX_dmso(e)	Dimethyl sulfoxide exchange							
EX_dopa(e)	Dopamine exchange							
EX_doxrbcn(e)	doxorubicin exchange							
EX_dtmp(e)	dTMP exchange							
EX_dump(e)	dUMP exchange							
EX_duri(e)	Deoxyuridine exchange							
EX_eca4colipa(e)	(enterobacterial common antigen)x4 core oligosaccharide lipid A exchange							
EX_enlipa(e)	phosphoethanolamine KDO(2)-lipid (A) exchange							
EX_enter(e)	Enterochelin exchange							
EX_etha(e)	Ethanolamine exchange							
EX_ethso3(e)	ethanesulfonate exchange							
EX_etoh(e)	Ethanol exchange							
EX_f6p(e)	D-fructose 6-phosphate exchange							
EX_fald(e)	Formaldehyde exchange							
EX_fe2(e)	Fe2+ exchange							
EX_fe3(e)	Fe3+ exchange							
EX_fe3dcit(e)	Fe(III)dicitrate exchange							
EX_fe3dhbzs(e)	"ferric 2,3-dihydroxybenzoylserine exchange"							
EX_fe3hox(e)	Fe(III)hydroxamate exchange							
EX_fe3hox-un(e)	"Fe(III)hydoxamate, unloaded exchange"							
EX_fecrm(e)	Ferrichrome exchange							
EX_fecrm-un(e)	Ferrichrome minus Fe(III) exchange							
EX_feenter(e)	Fe-enterobactin exchange							
EX_feoxam(e)	ferroxamine exchange							
EX_feoxam-un(e)	ferroxamine minus Fe(3) exchange							
EX_for(e)	Formate exchange							
EX_fru(e)	D-Fructose exchange							
EX_frulys(e)	fructoselysine exchange							
EX_fruur(e)	D-Fructuronate exchange							
EX_fuc-L(e)	L-Fucose exchange							
EX_fum(e)	Fumarate exchange							
EX_fusa(e)	fusidic acid exchange							
EX_g1p(e)	D-Glucose 1-phosphate exchange							
EX_g3pc(e)	sn-Glycero-3-phosphocholine exchange							
EX_g3pe(e)	sn-Glycero-3-phosphoethanolamine exchange							
EX_g3pg(e)	Glycerophosphoglycerol exchange							
EX_g3pi(e)	sn-Glycero-3-phospho-1-inositol exchange							
EX_g3ps(e)	Glycerophosphoserine exchange							
EX_g6p(e)	D-Glucose 6-phosphate exchange							
EX_gal(e)	D-Galactose exchange							
EX_gal-bD(e)	beta D-Galactose exchange							
EX_gal1p(e)	alpha-D-Galactose 1-phosphate exchange							
EX_galct-D(e)	D-Galactarate exchange							
EX_galctn-D(e)	D-Galactonate exchange							
EX_galctn-L(e)	L-Galactonate exchange							
EX_galt(e)	Galactitol exchange							
EX_galur(e)	D-Galacturonate exchange							
EX_gam(e)	D-Glucosamine exchange							
EX_gam6p(e)	D-Glucosamine 6-phosphate exchange							
EX_gbbtn(e)	gamma-butyrobetaine exchange							
EX_gdp(e)	GDP exchange							
EX_glc(e)	D-Glucose exchange							
EX_glcn(e)	D-Gluconate exchange							
EX_glcr(e)	D-Glucarate exchange							
EX_glcur(e)	D-Glucuronate exchange							
EX_glcur1p(e)	D-Glucuronate 1-phosphate exchange							
EX_gln-L(e)	L-Glutamine exchange							
EX_glu-L(e)	L-Glutamate exchange							
EX_gly(e)	Glycine exchange							
EX_glyald(e)	D-Glyceraldehyde exchange							
EX_glyb(e)	Glycine betaine exchange							
EX_glyc(e)	Glycerol exchange							
EX_glyc-R(e)	(R)-Glycerate exchange							
EX_glyc2p(e)	Glycerol 2-phosphate exchange							
EX_glyc3p(e)	Glycerol 3-phosphate exchange							
EX_glyclt(e)	Glycolate exchange							
EX_gmp(e)	GMP exchange							
EX_gsn(e)	Guanosine exchange							
EX_gthox(e)	Oxidized glutathione exchange							
EX_gthrd(e)	Reduced glutathione exchange							
EX_gtp(e)	GTP exchange							
EX_gua(e)	Guanine exchange							
EX_h(e)	H+ exchange							
EX_h2(e)	H2 exchange							
EX_h2o(e)	H2O exchange							
EX_h2o2(e)	Hydrogen peroxide exchange							
EX_h2s(e)	Hydrogen sulfide exchange							
EX_hacolipa(e)	hepta-acylated core oligosaccharide lipid A (E. coli) exchange							
EX_halipa(e)	hepta-acylated KDO(2)-lipid (A) exchange							
EX_hdca(e)	Hexadecanoate (n-C16:0) exchange							
EX_hdcea(e)	hexadecenoate (n-C16:1) exchange							
EX_hg2(e)	Hg2+ exchange							
EX_his-L(e)	L-Histidine exchange							
EX_hom-L(e)	L-Homoserine exchange							
EX_hxa(e)	Hexanoate (n-C6:0) exchange							
EX_hxan(e)	Hypoxanthine exchange							
EX_idon-L(e)	L-Idonate exchange							
EX_ile-L(e)	L-Isoleucine exchange							
EX_imp(e)	IMP exchange							
EX_indole(e)	Indole exchange							
EX_inost(e)	myo-Inositol exchange							
EX_ins(e)	Inosine exchange							
EX_isetac(e)	Isethionic acid exchange							
EX_k(e)	K+ exchange							
EX_kdo2lipid4(e)	KDO(2)-lipid IV(A) exchange							
EX_lac-D(e)	D-lactate exchange							
EX_lac-L(e)	L-Lactate exchange							
EX_lcts(e)	Lactose exchange							
EX_leu-L(e)	L-Leucine exchange							
EX_lipa(e)	KDO(2)-lipid (A) exchange							
EX_lipa_cold(e)	cold adapted KDO(2)-lipid (A) exchange							
EX_lipoate(e)	Lipoate exchange							
EX_lys-L(e)	L-Lysine exchange							
EX_lyx-L(e)	L-Lyxose exchange							
EX_mal-D(e)	D-Malate exchange							
EX_mal-L(e)	L-Malate exchange							
EX_malt(e)	Maltose exchange							
EX_malthx(e)	Maltohexaose exchange							
EX_maltpt(e)	Maltopentaose exchange							
EX_malttr(e)	Maltotriose exchange							
EX_maltttr(e)	Maltotetraose exchange							
EX_man(e)	D-Mannose exchange							
EX_man6p(e)	D-Mannose 6-phosphate exchange							
EX_manglyc(e)	2(alpha-D-Mannosyl)-D-glycerate exchange							
EX_melib(e)	Melibiose exchange							
EX_meoh(e)	methanol exchange							
EX_met-D(e)	D-Methionine exchange							
EX_met-L(e)	L-Methionine exchange							
EX_metsox-R-L(e)	L-methionine-R-sulfoxide exchange							
EX_metsox-S-L(e)	L-Methionine S-oxide exchange							
EX_mg2(e)	Mg exchange							
EX_mincyc(e)	minocycline exchange							
EX_minohp(e)	myo-Inositol hexakisphosphate exchange							
EX_mmet(e)	S-Methyl-L-methionine exchange							
EX_mn2(e)	Mn2+ exchange							
EX_mnl(e)	D-Mannitol exchange							
EX_mobd(e)	Molybdate exchange							
EX_mso3(e)	methanesulfonate exchange							
EX_n2o(e)	Nitrous oxide exchange							
EX_na1(e)	Sodium exchange							
EX_nac(e)	Nicotinate exchange							
EX_nh4(e)	Ammonia exchange							
EX_ni2(e)	Ni2+ exchange							
EX_nmn(e)	NMN exchange							
EX_no(e)	Nitric oxide exchange							
EX_no2(e)	Nitrite exchange							
EX_no3(e)	Nitrate exchange							
EX_novbcn(e)	novobiocin exchange							
EX_o16a4colipa(e)	(O16 antigen)x4 core oligosaccharide lipid A exchange							
EX_o2(e)	O2 exchange							
EX_o2s(e)	Superoxide anion exchange							
EX_ocdca(e)	octadecanoate (n-C18:0) exchange							
EX_ocdcea(e)	octadecenoate (n-C18:1) exchange							
EX_octa(e)	octanoate (n-C8:0) exchange							
EX_orn(e)	Ornithine exchange							
EX_orot(e)	Orotate exchange							
EX_pacald(e)	Phenylacetaldehyde exchange							
EX_peamn(e)	Phenethylamine exchange							
EX_phe-L(e)	L-Phenylalanine exchange							
EX_pheme(e)	Protoheme exchange							
EX_pi(e)	Phosphate exchange							
EX_pnto-R(e)	(R)-Pantothenate exchange							
EX_ppa(e)	Propionate exchange							
EX_ppal(e)	Propanal exchange							
EX_pppn(e)	Phenylpropanoate exchange							
EX_ppt(e)	Phosphonate exchange							
EX_pro-L(e)	L-Proline exchange							
EX_progly(e)	L-Prolinylglycine exchange							
EX_psclys(e)	psicoselysine exchange							
EX_pser-L(e)	O-Phospho-L-serine exchange							
EX_ptrc(e)	Putrescine exchange							
EX_pydam(e)	Pyridoxamine exchange							
EX_pydx(e)	Pyridoxal exchange							
EX_pydxn(e)	Pyridoxine exchange							
EX_pyr(e)	Pyruvate exchange							
EX_quin(e)	Quinate exchange							
EX_r5p(e)	alpha-D-Ribose 5-phosphate exchange							
EX_rfamp(e)	rifampin exchange							
EX_rib-D(e)	D-Ribose exchange							
EX_rmn(e)	L-Rhamnose exchange							
EX_sbt-D(e)	D-Sorbitol exchange							
EX_sel(e)	Selenate exchange							
EX_ser-D(e)	D-Serine exchange							
EX_ser-L(e)	L-Serine exchange							
EX_skm(e)	Shikimate exchange							
EX_slnt(e)	selenite exchange							
EX_so2(e)	sulfur dioxide exchange							
EX_so3(e)	Sulfite exchange							
EX_so4(e)	Sulfate exchange							
EX_spmd(e)	Spermidine exchange							
EX_succ(e)	Succinate exchange							
EX_sucr(e)	Sucrose exchange							
EX_sulfac(e)	sulfoacetate exchange							
EX_tartr-D(e)	D-tartrate exchange							
EX_tartr-L(e)	L-tartrate exchange							
EX_taur(e)	Taurine exchange							
EX_tcynt(e)	Thiocyanate exchange							
EX_thm(e)	Thiamin exchange							
EX_thr-L(e)	L-Threonine exchange							
EX_thrp(e)	L-Threonine O-3-phosphate exchange							
EX_thym(e)	Thymine exchange							
EX_thymd(e)	Thymidine exchange							
EX_tma(e)	Trimethylamine exchange							
EX_tmao(e)	Trimethylamine N-oxide exchange							
EX_tre(e)	Trehalose exchange							
EX_trp-L(e)	L-Tryptophan exchange							
EX_tsul(e)	Thiosulfate exchange							
EX_ttdca(e)	tetradecanoate (n-C14:0) exchange							
EX_ttdcea(e)	tetradecenoate (n-C14:1) exchange							
EX_ttrcyc(e)	tetracycline exchange							
EX_tungs(e)	tungstate exchange							
EX_tym(e)	Tyramine exchange							
EX_tyr-L(e)	L-Tyrosine exchange							
EX_tyrp(e)	Phosphotyrosine exchange							
EX_uacgam(e)	UDP-N-acetyl-D-glucosamine exchange							
EX_udpacgal(e)	UDP-N-acetyl-D-galactosamine exchange							
EX_udpg(e)	UDPglucose exchange							
EX_udpgal(e)	UDPgalactose exchange							
EX_udpglcur(e)	UDP-D-glucuronate exchange							
EX_ump(e)	UMP exchange							
EX_ura(e)	Uracil exchange							
EX_urea(e)	Urea exchange							
EX_uri(e)	Uridine exchange							
EX_val-L(e)	L-Valine exchange							
EX_xan(e)	Xanthine exchange							
EX_xmp(e)	Xanthosine 5-phosphate exchange							
EX_xtsn(e)	Xanthosine exchange							
EX_xyl-D(e)	D-Xylose exchange							
EX_xylu-L(e)	L-Xylulose exchange							
EX_zn2(e)	Zinc exchange							
12DGR120tipp	"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C12:0)"							
12DGR140tipp	"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C14:0)"							
12DGR141tipp	"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C14:1)"							
12DGR160tipp	"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C16:0)"							
12DGR161tipp	"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C16:1)"							
12DGR180tipp	"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C18:0)"							
12DGR181tipp	"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C18:1)"							
12PPDRtex	"(R)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)"	(b0241 or b0929 or b1377 or b2215)						
12PPDRtpp	"(R)-Propane-1,2-diol facilitated transport (periplasm)"							
12PPDStex	"(S)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)"	(b0241 or b0929 or b1377 or b2215)						
12PPDStpp	"(S)-Propane-1,2-diol facilitated transport (periplasm)"							
14GLUCANabcpp	"1,4-alpha-D-glucan transport via ABC system (periplasm)"	(b4034 and b4033 and b4032 and b4035)						
14GLUCANtexi	"1,4-alpha-D-glucan transport via diffusion (extracellular to periplasm) irreversible"	b4036						
23CAMPtex	23cAMP transport via diffusion (extracellular to periplasm)	(b0241 or b0929 or b1377 or b2215)						
23CCMPtex	23cCMP transport via diffusion (extracellular to periplasm)	(b0241 or b0929 or b1377 or b2215)						
23CGMPtex	23cGMP transport via diffusion (extracellular to periplasm)	(b0241 or b0929 or b1377 or b2215)						
23CUMPtex	23cUMP transport via diffusion (extracellular to periplasm)	(b0241 or b0929 or b1377 or b2215)						
23DAPPAt2pp	"2,3-diaminopropionate transport in via proton symport"							
23DAPPAtex	"2,3-diaminopropionate transport via diffusion"	(b0241 or b0929 or b1377 or b2215)						
23PDE2pp	"2,3-cyclic-nucleotide phosphodiesterase (UMP) (periplasm)"	b4213	3.1.4.16					
23PDE4pp	"2,3-cyclic-nucleotide phosphodiesterase (CMP) (periplasm)"	b4213	3.1.4.16					
23PDE7pp	"2,3-cyclic-nucleotide phosphodiesterase (AMP) (periplasm)"	b4213	3.1.4.16					
23PDE9pp	"2,3-cyclic-nucleotide phosphodiesterase (GMP) (periplasm)"	b4213	3.1.4.16					
26DAHtex	"meso-2,6-Diaminoheptanedioate transport via diffusion (extracellular to periplasm)"	(b0241 or b0929 or b1377 or b2215)						
2AGPA120tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C12:0) transporter via facilitated diffusion (periplasm)	b2835						
2AGPA140tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C14:0) transporter via facilitated diffusion (periplasm)	b2835						
2AGPA141tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C14:1) transporter via facilitated diffusion (periplasm)	b2835						
2AGPA160tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C16:0) transporter via facilitated diffusion (periplasm)	b2835						
2AGPA161tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C16:1) transporter via facilitated diffusion (periplasm)	b2835						
2AGPA180tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C18:0) transporter via facilitated diffusion (periplasm)	b2835						
2AGPA181tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C18:1) transporter via facilitated diffusion (periplasm)	b2835						
2AGPE120tipp	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0) transporter via facilitated diffusion (periplasm)	b2835						
2AGPE140tipp	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0) transporter via facilitated diffusion (periplasm)	b2835						
2AGPE141tipp	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1) transporter via facilitated diffusion (periplasm)	b2835						
2AGPE160tipp	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0) transporter via facilitated diffusion (periplasm)	b2835						
2AGPE161tipp	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1) transporter via facilitated diffusion (periplasm)	b2835						
2AGPE180tipp	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0) transporter via facilitated diffusion (periplasm)	b2835						
2AGPE181tipp	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1) transporter via facilitated diffusion (periplasm)	b2835						
2AGPEAT120	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C12:0)	b2836	2.3.1.40					
2AGPEAT140	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C14:0)	b2836	2.3.1.40					
2AGPEAT141	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C14:1)	b2836	2.3.1.40					
2AGPEAT160	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C16:0)	b2836	2.3.1.40					
2AGPEAT161	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C16:1)	b2836	2.3.1.40					
2AGPEAT180	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C18:0)	b2836	2.3.1.40					
2AGPEAT181	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C18:1)	b2836	2.3.1.40					
2AGPG120tipp	2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0) transporter via facilitated diffusion (periplasm)	b2835						
2AGPG140tipp	2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0) transporter via facilitated diffusion (periplasm)	b2835						
2AGPG141tipp	2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1) transporter via facilitated diffusion (periplasm)	b2835						
2AGPG160tipp	2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0) transporter via facilitated diffusion (periplasm)	b2835						
2AGPG161tipp	2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1) transporter via facilitated diffusion (periplasm)	b2835						
2AGPG180tipp	2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0) transporter via facilitated diffusion (periplasm)	b2835						
2AGPG181tipp	2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1) transporter via facilitated diffusion (periplasm)	b2835						
2AGPGAT120	2-acyl-glycerophospho-glycerol acyltransferase (n-C12:0)	b2836	2.3.1.40					
2AGPGAT140	2-acyl-glycerophospho-glycerol acyltransferase (n-C14:0)	b2836	2.3.1.40					
2AGPGAT141	2-acyl-glycerophospho-glycerol acyltransferase (n-C14:1)	b2836	2.3.1.40					
2AGPGAT160	2-acyl-glycerophospho-glycerol acyltransferase (n-C16:0)	b2836	2.3.1.40					
2AGPGAT161	2-acyl-glycerophospho-glycerol acyltransferase (n-C16:1)	b2836	2.3.1.40					
2AGPGAT180	2-acyl-glycerophospho-glycerol acyltransferase (n-C18:0)	b2836	2.3.1.40					
2AGPGAT181	2-acyl-glycerophospho-glycerol acyltransferase (n-C18:1)	b2836	2.3.1.40					
2DGULRGx	2-Dehydro-L-gulonate reductase to gluconate (NADH)	b3553						
2DGULRGy	2-Dehydro-L-gulonate reductase to gluconate (NADPH)	b3553	1.1.1.215	20000	NA	NA	NA	NA
2DGULRx	2-dehydro-L-gulonate reductase (NADH)	b3553						
2DGULRy	2-dehydro-L-gulonate reductase (NADPH)	b3553						
2MAHMP	2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphatase	(b0446 or b1134)						
34dhpactex	dihydroxyphenylacetaldehyde transport via diffusion (extracellular to periplasm)	(b0241 or b0929 or b1377 or b2215)						
3AMACHYD	3-aminoacrylate hydrolase	b1009						
3AMPtex	3AMP transport via diffusion (extracellular to periplasm)	(b0241 or b0929 or b1377 or b2215)						
3CMPtex	3CMP transport via diffusion (extracellular to periplasm)	(b0241 or b0929 or b1377 or b2215)						
3GMPtex	3GMP transport via diffusion (extracellular to periplasm)	(b0929 or b1377 or b2215 or b0241)						
3HAD100	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C10:0)	(b0954 or b0180)	4.2.1.60	20000	NA	NA	NA	NA
3HAD120	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C12:0)	(b0180 or b0954)	4.2.1.61	20000	NA	NA	NA	NA
3HAD121	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C12:1)	(b0180 or b0954)	4.2.1.61	20000	NA	NA	NA	NA
3HAD140	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:0)	(b0954 or b0180)	4.2.1.61	20000	NA	NA	NA	NA
3HAD141	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:1)	(b0954 or b0180)	4.2.1.61	20000	NA	NA	NA	NA
3HAD160	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:0)	(b0954 or b0180)	4.2.1.61	20000	NA	NA	NA	NA
3HAD161	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:1)	(b0180 or b0954)	4.2.1.61	20000	NA	NA	NA	NA
3HAD180	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:0)	(b0954 or b0180)	4.2.1.61	20000	NA	NA	NA	NA
3HAD181	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:1)	(b0954 or b0180)	4.2.1.61	20000	NA	NA	NA	NA
3HAD40	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C4:0)	(b0954 or b0180)	4.2.1.58	20000	NA	NA	NA	NA
3HAD60	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C6:0)	(b0954 or b0180)	4.2.1.58	20000	NA	NA	NA	NA
3HAD80	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C8:0)	(b0954 or b0180)	4.2.1.58	20000	NA	NA	NA	NA
3HCINNMH	3-hydroxycinnamate hydroxylase	b0347						
3HPPPNH	3-(3-hydroxy-phenyl)propionate hydroxylase	b0347						
3HPPtex	3-hydroxypropionate transport via diffusion (extracellular to periplasm)	(b1377 or b0929 or b2215 or b0241)						
3HPPtpp	3-hydroxypropionate transport via proton symport (periplasm)							
3KGK	3-keto-L-gulonate kinase	b3580						
3NTD2pp	3-nucleotidase (UMP) (periplasm)	b4213						
3NTD4pp	3-nucleotidase (CMP) (periplasm)	b4213						
3NTD7pp	3-nucleotidase (AMP) (periplasm)	b4213						
3NTD9pp	3-nucleotidase (GMP) (periplasm)	b4213						
3OAR100	3-oxoacyl-[acyl-carrier-protein] reductase (n-C10:0)	b1093	1.1.1.100					
3OAR120	3-oxoacyl-[acyl-carrier-protein] reductase (n-C12:0)	b1093	1.1.1.100					
3OAR121	3-oxoacyl-[acyl-carrier-protein] reductase (n-C12:1)	b1093	1.1.1.100					
3OAR140	3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:0)	b1093	1.1.1.100					
3OAR141	3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:1)	b1093	1.1.1.100					
3OAR160	3-oxoacyl-[acyl-carrier-protein] reductase (n-C16:0)	b1093	1.1.1.100					
3OAR161	3-oxoacyl-[acyl-carrier-protein] reductase (n-C16:1)	b1093	1.1.1.100					
3OAR180	3-oxoacyl-[acyl-carrier-protein] reductase (n-C18:0)	b1093	1.1.1.100					
3OAR181	3-oxoacyl-[acyl-carrier-protein] reductase (n-C18:1)	b1093	1.1.1.100					
3OAR40	3-oxoacyl-[acyl-carrier-protein] reductase (n-C4:0)	b1093	1.1.1.100					
3OAR60	3-oxoacyl-[acyl-carrier-protein] reductase (n-C6:0)	b1093	1.1.1.100					
